,Difference in Totals (),Heidke Skill Score at 0.1 ,False Alarm Ratio at 0.1 ,Probability of Detection at 0.1 ,Heidke Skill Score at 1.0 ,False Alarm Ratio at 1.0 ,Probability of Detection at 1.0 ,Heidke Skill Score at 10.0 ,False Alarm Ratio at 10.0 ,Probability of Detection at 10.0 ,Expected Observations,Total NaNs,NaNs in Model,%_NaNs_Total,%_NaNs_Model
CMORPH,350.1,0.19,0.83,0.32,0.1,0.94,0.32,0.0,1.0,nan,8785,332,332,3.78,3.78
UMGLOBAL10,506.6,0.17,0.86,0.4,0.12,0.93,0.45,nan,nan,nan,8785,39,39,0.44,0.44
NMM4,485.0,0.18,0.84,0.33,0.14,0.92,0.52,0.0,1.0,nan,8785,1,1,0.01,0.01
ERA5T,597.6,0.16,0.87,0.49,0.1,0.94,0.45,nan,nan,nan,8785,1,1,0.01,0.01
ICON,546.7,0.16,0.87,0.47,0.08,0.95,0.29,nan,nan,nan,8785,1,1,0.01,0.01
IMERG-REALTIME,464.05,-0.02,0.98,0.1,-0.01,1.0,0.0,nan,nan,nan,8785,48,48,0.55,0.55
NEMS4,350.8,0.18,0.85,0.35,0.07,0.95,0.19,0.0,1.0,nan,8785,1,1,0.01,0.01
NEMS12,381.7,0.2,0.83,0.41,0.1,0.94,0.32,nan,nan,nan,8785,1,1,0.01,0.01
IFS04,-2.03,0.26,0.63,0.22,0.13,0.77,0.1,nan,nan,nan,8785,7440,7440,84.69,84.69
IMERG,4.89,0.21,0.74,0.22,0.0,nan,0.0,nan,nan,nan,8785,7368,7368,83.87,83.87
AIFS025,458.63,0.04,0.94,0.21,0.04,0.97,0.1,nan,nan,nan,8785,1813,1813,20.64,20.64
NMM22,663.6,0.17,0.85,0.35,0.09,0.94,0.45,nan,nan,nan,8785,1,1,0.01,0.01
CHIRPS2,363.81,0.06,0.94,0.39,-0.0,1.0,0.0,nan,nan,nan,8785,1,1,0.01,0.01
ICONEU,564.0,0.17,0.87,0.48,0.07,0.95,0.29,nan,nan,nan,8785,15,15,0.17,0.17
NEMSGLOBAL,467.6,0.17,0.86,0.39,0.07,0.96,0.26,nan,nan,nan,8785,1,1,0.01,0.01
COSMOI2,570.4,0.22,0.8,0.38,0.06,0.96,0.23,0.0,1.0,nan,8785,1477,1477,16.81,16.81
IFS025,489.03,0.06,0.93,0.21,0.07,0.95,0.23,nan,nan,nan,8785,1213,1213,13.81,13.81
MFEU,470.4,0.15,0.87,0.36,0.1,0.94,0.39,nan,nan,nan,8785,25,25,0.28,0.28
ICOND2,511.3,0.21,0.82,0.36,0.12,0.93,0.39,0.0,1.0,nan,8785,121,121,1.38,1.38
MFGLOBAL,3.2,0.09,0.74,0.06,-0.0,1.0,0.0,nan,nan,nan,8785,7693,7693,87.57,87.57
GEM15,480.2,0.16,0.87,0.43,0.11,0.93,0.39,nan,nan,nan,8785,15,15,0.17,0.17
PDIRNOW,377.34,0.02,0.96,0.25,0.0,nan,0.0,nan,nan,nan,8785,453,453,5.16,5.16
COSMOM5,463.3,0.17,0.86,0.36,0.07,0.96,0.23,0.0,1.0,nan,8785,1153,1153,13.12,13.12
GFS05,443.5,0.14,0.88,0.45,0.13,0.92,0.35,nan,nan,nan,8785,1,1,0.01,0.01
