,Difference in Totals (),Heidke Skill Score at 0.1 ,False Alarm Ratio at 0.1 ,Probability of Detection at 0.1 ,Heidke Skill Score at 1.0 ,False Alarm Ratio at 1.0 ,Probability of Detection at 1.0 ,Heidke Skill Score at 10.0 ,False Alarm Ratio at 10.0 ,Probability of Detection at 10.0 ,Expected Observations,Total NaNs,NaNs in Model,%_NaNs_Total,%_NaNs_Model
ICOND2,14.0,0.54,0.44,0.63,0.43,0.55,0.45,0.13,0.89,0.17,8785,121,121,1.38,1.38
MFEU,-47.9,0.45,0.54,0.59,0.32,0.67,0.35,0.0,nan,0.0,8785,25,25,0.28,0.28
NMM4,34.8,0.4,0.56,0.5,0.29,0.71,0.33,-0.0,1.0,0.0,8785,1,1,0.01,0.01
NEMS4,-174.5,0.41,0.55,0.52,0.25,0.69,0.23,-0.0,1.0,0.0,8785,1,1,0.01,0.01
COSMOM5,37.0,0.38,0.59,0.51,0.31,0.68,0.34,-0.0,1.0,0.0,8785,1153,1153,13.12,13.12
NMM22,23.6,0.38,0.58,0.49,0.23,0.75,0.24,0.0,nan,0.0,8785,1,1,0.01,0.01
MFFR,-40.1,0.43,0.5,0.48,0.27,0.71,0.29,-0.0,1.0,0.0,8785,19,19,0.22,0.22
AIFS025,-54.97,0.38,0.63,0.63,0.22,0.62,0.17,0.0,nan,0.0,8785,1813,1813,20.64,20.64
IMERG-REALTIME,20.94,0.04,0.87,0.28,0.1,0.83,0.09,0.0,nan,0.0,8785,48,48,0.55,0.55
PDIRNOW,147.83,0.1,0.83,0.49,-0.0,1.0,0.0,0.0,nan,0.0,8785,453,453,5.16,5.16
IFS04,-10.1,0.2,0.42,0.15,0.03,0.43,0.02,0.0,nan,0.0,8785,7440,7440,84.69,84.69
NEMSGLOBAL,-1.9,0.41,0.6,0.63,0.27,0.71,0.29,0.0,nan,0.0,8785,1,1,0.01,0.01
GEM15,88.0,0.45,0.57,0.66,0.31,0.66,0.32,0.0,nan,0.0,8785,15,15,0.17,0.17
GFS05,122.4,0.42,0.62,0.76,0.37,0.6,0.37,0.0,nan,0.0,8785,1,1,0.01,0.01
MFGLOBAL,-4.4,0.12,0.48,0.08,0.03,0.64,0.02,0.0,nan,0.0,8785,7693,7693,87.57,87.57
IFS025,-20.67,0.43,0.55,0.57,0.31,0.63,0.3,0.0,nan,0.0,8785,1213,1213,13.81,13.81
ICONEU,-13.2,0.47,0.56,0.7,0.31,0.63,0.3,0.0,nan,0.0,8785,15,15,0.17,0.17
CHIRPS2,-6.4,0.12,0.82,0.43,0.03,0.9,0.02,0.0,nan,0.0,8785,1,1,0.01,0.01
CMORPH,-163.6,0.53,0.32,0.49,0.52,0.47,0.52,-0.0,1.0,0.0,8785,337,337,3.84,3.84
NEMS12,-180.3,0.4,0.58,0.55,0.25,0.67,0.23,0.0,nan,0.0,8785,1,1,0.01,0.01
UMGLOBAL10,3.9,0.48,0.53,0.64,0.28,0.66,0.27,-0.0,1.0,0.0,8785,39,39,0.44,0.44
IMERG,28.5,0.11,0.68,0.1,-0.0,1.0,0.0,0.0,nan,0.0,8785,7368,7368,83.87,83.87
ERA5T,25.0,0.49,0.55,0.74,0.41,0.57,0.43,0.0,nan,0.0,8785,1,1,0.01,0.01
ICON,-37.5,0.47,0.54,0.66,0.32,0.64,0.31,0.0,nan,0.0,8785,1,1,0.01,0.01
mLM,39.72,0.24,0.45,0.19,0.19,0.55,0.13,-0.0,1.0,0.0,8785,6277,6277,71.45,71.45
