,Difference in Totals (),Heidke Skill Score at 0.1 ,False Alarm Ratio at 0.1 ,Probability of Detection at 0.1 ,Heidke Skill Score at 1.0 ,False Alarm Ratio at 1.0 ,Probability of Detection at 1.0 ,Heidke Skill Score at 10.0 ,False Alarm Ratio at 10.0 ,Probability of Detection at 10.0 ,Expected Observations,Total NaNs,NaNs in Model,%_NaNs_Total,%_NaNs_Model
ICONEU,-1147.5,0.28,0.77,0.64,0.24,0.74,0.25,0.0,nan,0.0,8785,15,15,0.17,0.17
CMORPH,-1226.8,0.29,0.68,0.36,0.29,0.69,0.3,0.12,0.8,0.09,8785,343,343,3.9,3.9
IFS025,-951.83,0.26,0.77,0.53,0.19,0.8,0.21,0.0,nan,0.0,8785,1213,1213,13.81,13.81
GEM15,-1250.1,0.26,0.77,0.53,0.24,0.71,0.23,0.0,nan,0.0,8785,15,15,0.17,0.17
NEMS12,-1382.1,0.24,0.77,0.39,0.14,0.83,0.14,0.0,nan,0.0,8785,1,1,0.01,0.01
GFS05,-1009.17,0.24,0.81,0.67,0.17,0.81,0.18,0.0,nan,0.0,8785,1,1,0.01,0.01
ERA5T,-911.6,0.26,0.79,0.72,0.19,0.82,0.25,0.0,nan,0.0,8785,1,1,0.01,0.01
UMGLOBAL10,-1034.8,0.28,0.77,0.6,0.23,0.78,0.28,0.0,nan,0.0,8785,39,39,0.44,0.44
IMERG,-88.86,0.04,0.91,0.09,0.0,nan,0.0,0.0,nan,0.0,8785,7368,7368,83.87,83.87
NMM22,-1185.1,0.22,0.79,0.39,0.12,0.87,0.15,0.0,nan,0.0,8785,1,1,0.01,0.01
ICON,-1155.0,0.29,0.76,0.63,0.23,0.74,0.22,0.0,nan,0.0,8785,1,1,0.01,0.01
IMERG-REALTIME,-829.8,0.03,0.92,0.3,0.06,0.92,0.09,0.0,nan,0.0,8785,48,48,0.55,0.55
MFEU,-992.5,0.26,0.78,0.55,0.2,0.81,0.25,0.0,nan,0.0,8785,25,25,0.28,0.28
AIFS025,-923.8,0.26,0.79,0.68,0.22,0.71,0.19,0.0,nan,0.0,8785,1813,1813,20.64,20.64
PDIRNOW,-997.49,0.07,0.91,0.48,0.02,0.91,0.02,0.0,nan,0.0,8785,453,453,5.16,5.16
CHIRPS2,-848.51,0.08,0.9,0.45,0.06,0.92,0.08,0.0,nan,0.0,8785,1,1,0.01,0.01
NEMS4,-1504.2,0.22,0.76,0.31,0.15,0.79,0.13,0.0,nan,0.0,8785,1,1,0.01,0.01
COSMOM5,-1095.2,0.22,0.79,0.42,0.14,0.85,0.16,-0.0,1.0,0.0,8785,1153,1153,13.12,13.12
NMM4,-1241.4,0.2,0.79,0.32,0.13,0.85,0.15,-0.0,1.0,0.0,8785,1,1,0.01,0.01
NEMSGLOBAL,-1009.2,0.22,0.81,0.57,0.18,0.81,0.22,-0.0,1.0,0.0,8785,1,1,0.01,0.01
IFS04,-60.23,0.08,0.86,0.1,0.03,0.86,0.02,0.0,nan,0.0,8785,7440,7440,84.69,84.69
MFGLOBAL,-972.2,0.18,0.52,0.13,0.03,0.73,0.02,0.0,nan,0.0,8785,7693,7693,87.57,87.57
