,Difference in Totals (),Heidke Skill Score at 0.1 ,False Alarm Ratio at 0.1 ,Probability of Detection at 0.1 ,Heidke Skill Score at 1.0 ,False Alarm Ratio at 1.0 ,Probability of Detection at 1.0 ,Heidke Skill Score at 10.0 ,False Alarm Ratio at 10.0 ,Probability of Detection at 10.0 ,Expected Observations,Total NaNs,NaNs in Model,%_NaNs_Total,%_NaNs_Model
AIFS025,-44.3,0.33,0.75,0.71,0.27,0.72,0.28,nan,nan,nan,8785,4537,1813,51.64,20.64
NEMS4,-119.4,0.3,0.73,0.41,0.17,0.82,0.18,nan,nan,nan,8785,4537,1,51.64,0.01
UMGLOBAL10,-22.5,0.31,0.76,0.64,0.28,0.76,0.38,nan,nan,nan,8785,4575,39,52.08,0.44
IMERG-REALTIME,-58.1,0.05,0.93,0.25,0.01,0.97,0.02,nan,nan,nan,8785,4584,48,52.18,0.55
GFS05,-88.5,0.24,0.81,0.56,0.27,0.74,0.31,nan,nan,nan,8785,4537,1,51.64,0.01
ICONEU,-67.7,0.27,0.8,0.61,0.23,0.77,0.26,nan,nan,nan,8785,4551,15,51.8,0.17
IFS04,nan,-0.02,1.0,0.0,-0.0,1.0,0.0,nan,nan,nan,8785,8785,7440,100.0,84.69
NMM22,-60.4,0.27,0.76,0.41,0.14,0.88,0.2,nan,nan,nan,8785,4537,1,51.64,0.01
GEM15,-8.13,0.3,0.77,0.62,0.3,0.76,0.45,0.0,1.0,nan,8785,4551,15,51.8,0.17
ERA5T,-29.2,0.34,0.75,0.73,0.3,0.76,0.45,nan,nan,nan,8785,4537,1,51.64,0.01
NEMS12,-122.0,0.25,0.78,0.39,0.15,0.85,0.17,nan,nan,nan,8785,4537,1,51.64,0.01
MFGLOBAL,-5.7,0.37,0.41,0.28,0.16,0.73,0.12,nan,nan,nan,8785,7693,7693,87.57,87.57
ICON,-67.9,0.28,0.79,0.63,0.23,0.77,0.24,nan,nan,nan,8785,4537,1,51.64,0.01
COSMOI2,-64.3,0.33,0.71,0.47,0.18,0.83,0.22,0.0,1.0,nan,8785,5173,1477,58.88,16.81
PDIRNOW,-40.22,0.1,0.91,0.51,-0.0,1.0,0.0,nan,nan,nan,8785,4918,453,55.98,5.16
IFS025,3.2,0.35,0.73,0.66,0.29,0.77,0.43,nan,nan,nan,8785,4537,1213,51.64,13.81
COSMOM5,-44.1,0.29,0.75,0.47,0.22,0.81,0.28,0.0,1.0,nan,8785,5065,1153,57.66,13.12
MFEU,-53.9,0.31,0.75,0.56,0.32,0.73,0.4,nan,nan,nan,8785,4561,25,51.92,0.28
CMORPH,-103.7,0.3,0.74,0.46,0.25,0.78,0.33,0.0,1.0,nan,8785,4545,346,51.74,3.94
NEMSGLOBAL,-99.2,0.26,0.79,0.47,0.18,0.83,0.22,nan,nan,nan,8785,4537,1,51.64,0.01
CHIRPS2,-9.4,0.12,0.9,0.47,0.11,0.87,0.11,nan,nan,nan,8785,4537,1,51.64,0.01
IMERG,nan,-0.03,1.0,0.0,0.0,nan,0.0,nan,nan,nan,8785,8785,7368,100.0,83.87
