,Difference in Totals (),Percentage Difference in Totals (%),Heidke Skill Score at 0.1 ,False Alarm Ratio at 0.1 ,Probability of Detection at 0.1 ,Heidke Skill Score at 1.0 ,False Alarm Ratio at 1.0 ,Probability of Detection at 1.0 ,Heidke Skill Score at 10.0 ,False Alarm Ratio at 10.0 ,Probability of Detection at 10.0 ,Expected Observations,Total NaNs,NaNs in Model,%_NaNs_Total,%_NaNs_Model
IFS04,14.1,46.38,0.08,0.85,0.07,-0.0,1.0,0.0,nan,nan,nan,8785,7440,7440,84.69,84.69
CHIRPS2,310.6,214.21,0.04,0.95,0.31,-0.0,1.0,0.0,nan,nan,nan,8785,664,1,7.56,0.01
IFS025,350.0,302.25,0.15,0.88,0.41,0.11,0.93,0.32,nan,nan,nan,8785,1876,1213,21.35,13.81
IMERG-REALTIME,224.48,154.81,-0.0,0.97,0.12,-0.0,1.0,0.0,nan,nan,nan,8785,664,48,7.56,0.55
ICONEU,274.9,189.59,0.19,0.85,0.51,0.09,0.94,0.24,nan,nan,nan,8785,678,15,7.72,0.17
NEMSGLOBAL,157.9,108.9,0.15,0.88,0.38,0.1,0.93,0.24,nan,nan,nan,8785,664,1,7.56,0.01
COSMOM5,204.5,141.42,0.21,0.83,0.41,0.12,0.92,0.32,nan,nan,nan,8785,1816,1153,20.67,13.12
AIFS025,249.13,233.71,0.12,0.9,0.41,0.1,0.91,0.13,nan,nan,nan,8785,2476,1813,28.18,20.64
ICON,316.4,218.21,0.19,0.86,0.51,0.1,0.94,0.29,nan,nan,nan,8785,664,1,7.56,0.01
NEMS4,34.7,23.93,0.15,0.86,0.27,0.05,0.96,0.08,nan,nan,nan,8785,664,1,7.56,0.01
UMGLOBAL10,207.2,142.9,0.16,0.87,0.41,0.13,0.91,0.29,nan,nan,nan,8785,702,39,7.99,0.44
GFS05,220.4,152.0,0.14,0.88,0.39,0.07,0.95,0.16,0.0,1.0,nan,8785,664,1,7.56,0.01
GEM15,177.0,122.07,0.19,0.85,0.44,0.18,0.88,0.39,nan,nan,nan,8785,678,15,7.72,0.17
NMM22,254.6,175.59,0.12,0.9,0.26,0.07,0.95,0.21,nan,nan,nan,8785,664,1,7.56,0.01
ERA5T,344.8,237.79,0.18,0.87,0.54,0.19,0.88,0.55,nan,nan,nan,8785,664,1,7.56,0.01
MFGLOBAL,0.2,0.58,0.11,0.84,0.11,-0.0,1.0,0.0,nan,nan,nan,8785,8356,7693,95.12,87.57
CMORPH,245.5,188.56,0.15,0.86,0.24,0.1,0.93,0.21,0.0,1.0,nan,8785,1000,340,11.38,3.87
IMERG,2.3,7.57,0.04,0.92,0.05,0.0,nan,0.0,nan,nan,nan,8785,7368,7368,83.87,83.87
MFEU,263.5,181.72,0.19,0.86,0.45,0.11,0.93,0.29,nan,nan,nan,8785,676,25,7.69,0.28
NEMS12,191.9,132.34,0.13,0.89,0.33,0.07,0.95,0.18,nan,nan,nan,8785,664,1,7.56,0.01
PDIRNOW,405.23,279.47,-0.0,0.97,0.2,-0.0,1.0,0.0,nan,nan,nan,8785,1069,453,12.17,5.16
