,Difference in Totals (),Heidke Skill Score at 0.1 ,False Alarm Ratio at 0.1 ,Probability of Detection at 0.1 ,Heidke Skill Score at 1.0 ,False Alarm Ratio at 1.0 ,Probability of Detection at 1.0 ,Heidke Skill Score at 10.0 ,False Alarm Ratio at 10.0 ,Probability of Detection at 10.0 ,Expected Observations,Total NaNs,NaNs in Model,%_NaNs_Total,%_NaNs_Model
COSMOM5,-90.6,0.36,0.64,0.45,0.25,0.71,0.23,-0.0,1.0,0.0,8785,1153,1153,13.12,13.12
ICONEU,-18.93,0.45,0.62,0.7,0.31,0.66,0.31,0.0,nan,0.0,8785,15,15,0.17,0.17
CHIRPS2,-86.47,0.12,0.87,0.38,0.02,0.89,0.01,0.0,nan,0.0,8785,1,1,0.01,0.01
NEMS12,-140.8,0.38,0.65,0.52,0.24,0.71,0.23,0.0,nan,0.0,8785,1,1,0.01,0.01
NEMSGLOBAL,-151.3,0.34,0.67,0.47,0.29,0.66,0.28,0.0,nan,0.0,8785,1,1,0.01,0.01
IFS025,56.6,0.31,0.72,0.5,0.28,0.72,0.31,0.0,nan,0.0,8785,1213,1213,13.81,13.81
AIFS025,-104.9,0.34,0.7,0.58,0.25,0.52,0.18,0.0,nan,0.0,8785,1813,1813,20.64,20.64
IMERG-REALTIME,77.65,0.08,0.89,0.29,0.06,0.92,0.07,0.0,nan,0.0,8785,48,48,0.55,0.55
IFS04,-12.33,0.21,0.58,0.16,-0.0,1.0,0.0,0.0,nan,0.0,8785,7440,7440,84.69,84.69
ERA5T,-23.9,0.41,0.66,0.67,0.4,0.6,0.42,0.0,nan,0.0,8785,1,1,0.01,0.01
MFEU,-118.4,0.42,0.62,0.57,0.3,0.67,0.29,0.0,nan,0.0,8785,25,25,0.28,0.28
PDIRNOW,-0.83,0.08,0.9,0.36,-0.0,1.0,0.0,0.0,nan,0.0,8785,453,453,5.16,5.16
CMORPH,12.7,0.45,0.51,0.48,0.45,0.55,0.47,-0.0,1.0,0.0,8785,332,332,3.78,3.78
NEMS4,-236.2,0.39,0.6,0.47,0.24,0.66,0.2,0.0,nan,0.0,8785,1,1,0.01,0.01
MFGLOBAL,-11.9,0.09,0.6,0.06,0.0,nan,0.0,0.0,nan,0.0,8785,7693,7693,87.57,87.57
UMGLOBAL10,-20.13,0.44,0.62,0.67,0.35,0.63,0.36,-0.0,1.0,0.0,8785,39,39,0.44,0.44
GEM15,-64.13,0.39,0.66,0.61,0.28,0.68,0.27,0.0,nan,0.0,8785,15,15,0.17,0.17
ICON,-64.53,0.43,0.63,0.65,0.32,0.63,0.3,0.0,nan,0.0,8785,1,1,0.01,0.01
NMM22,-133.4,0.36,0.61,0.4,0.24,0.72,0.23,-0.0,1.0,0.0,8785,1,1,0.01,0.01
GFS05,-24.8,0.34,0.71,0.56,0.24,0.72,0.23,0.25,0.0,0.14,8785,1,1,0.01,0.01
IMERG,18.65,0.17,0.74,0.17,0.0,nan,0.0,0.0,nan,0.0,8785,7368,7368,83.87,83.87
