,Difference in Totals (),Heidke Skill Score at 0.1 ,False Alarm Ratio at 0.1 ,Probability of Detection at 0.1 ,Heidke Skill Score at 1.0 ,False Alarm Ratio at 1.0 ,Probability of Detection at 1.0 ,Heidke Skill Score at 10.0 ,False Alarm Ratio at 10.0 ,Probability of Detection at 10.0 ,Expected Observations,Total NaNs,NaNs in Model,%_NaNs_Total,%_NaNs_Model
GEM15,-1500.3,0.42,0.53,0.48,0.15,0.37,0.1,0.0,nan,0.0,8785,15,15,0.17,0.17
UMGLOBAL10,-1444.3,0.41,0.58,0.51,0.15,0.39,0.1,0.0,nan,0.0,8785,39,39,0.44,0.44
NEMS4,-1619.3,0.36,0.51,0.35,0.13,0.26,0.08,-0.0,1.0,0.0,8785,1,1,0.01,0.01
ERA5T,-1462.2,0.48,0.52,0.59,0.18,0.39,0.12,0.0,nan,0.0,8785,1,1,0.01,0.01
ICON,-1494.0,0.45,0.53,0.55,0.14,0.34,0.09,0.0,nan,0.0,8785,1,1,0.01,0.01
MFGLOBAL,-195.8,0.18,0.3,0.11,0.06,0.07,0.04,0.0,nan,0.0,8785,7693,7693,87.57,87.57
COSMOM5,-1418.0,0.35,0.54,0.36,0.16,0.38,0.1,0.0,nan,0.0,8785,1153,1153,13.12,13.12
NEMSGLOBAL,-1494.3,0.39,0.57,0.47,0.2,0.37,0.13,0.0,nan,0.0,8785,1,1,0.01,0.01
CHIRPS2,-1530.18,0.18,0.79,0.38,-0.0,1.0,0.0,0.0,nan,0.0,8785,1,1,0.01,0.01
NMM22,-1392.6,0.36,0.55,0.38,0.19,0.42,0.13,0.33,0.67,0.33,8785,1,1,0.01,0.01
ICONEU,-1539.5,0.47,0.51,0.56,0.14,0.28,0.08,0.0,nan,0.0,8785,15,15,0.17,0.17
IFS025,-1146.93,0.37,0.58,0.43,0.09,0.53,0.06,0.0,nan,0.0,8785,1213,1213,13.81,13.81
IFS04,-390.5,0.18,0.38,0.12,0.02,0.22,0.01,0.0,nan,0.0,8785,7440,7440,84.69,84.69
MFEU,-1524.8,0.42,0.54,0.48,0.14,0.44,0.09,0.0,nan,0.0,8785,25,25,0.28,0.28
CMORPH,-1425.7,0.42,0.44,0.38,0.18,0.34,0.12,-0.0,1.0,0.0,8785,338,338,3.85,3.85
GFS05,-1459.3,0.4,0.61,0.56,0.17,0.37,0.11,0.0,nan,0.0,8785,1,1,0.01,0.01
PDIRNOW,-1383.72,0.16,0.81,0.42,-0.0,1.0,0.0,0.0,nan,0.0,8785,453,453,5.16,5.16
NEMS12,-1627.2,0.35,0.54,0.36,0.12,0.39,0.08,-0.0,1.0,0.0,8785,1,1,0.01,0.01
AIFS025,-990.2,0.35,0.64,0.48,0.06,0.41,0.04,0.0,nan,0.0,8785,1813,1813,20.64,20.64
IMERG,-373.4,0.11,0.71,0.1,0.0,nan,0.0,0.0,nan,0.0,8785,7368,7368,83.87,83.87
IMERG-REALTIME,-1467.3,0.09,0.85,0.24,-0.01,1.0,0.0,0.0,nan,0.0,8785,48,48,0.55,0.55
mLM,-140.51,0.15,0.51,0.11,0.06,0.43,0.04,0.0,nan,0.0,8785,6277,6277,71.45,71.45
